update,wall_time,total_env_steps,avg_reward,avg_ep_length,kill_rate,win_rate,elo,policy_loss,value_loss,entropy,lr,fps
1930,1422.2,94863360,0.0000,154.8,0.9300,0.5100,1898.2,-0.013691,5.415996,1.495424,1.842600e-04,67660
1940,1429.5,95354880,-2.1000,145.0,0.9100,0.4100,1847.4,-0.014239,4.293794,1.544638,1.836600e-04,65277
1950,1437.0,95846400,-0.6500,118.0,0.9400,0.4700,1978.2,-0.014162,4.743918,1.520246,1.830600e-04,64811
1960,1444.2,96337920,-0.7000,115.8,0.9300,0.4700,1876.7,-0.014434,7.006277,1.520216,1.824600e-04,67939
1970,1451.6,96829440,-1.5500,119.5,0.9500,0.4300,1930.5,-0.013496,5.467534,1.522021,1.818600e-04,65684
1980,1458.9,97320960,9.2500,88.5,0.9700,0.9700,1858.0,-0.010164,3.184363,1.557192,1.812600e-04,74268
1990,1466.2,97812480,-2.2000,167.5,0.8700,0.4200,1841.9,-0.013373,5.506395,1.517159,1.806600e-04,66155
2000,1473.3,98304000,0.8000,143.1,0.9500,0.5500,1896.7,-0.014329,6.233619,1.515718,1.800600e-04,66866
2010,1480.6,98795520,0.5500,139.8,0.9100,0.5500,1968.9,-0.013345,5.464373,1.546298,1.794600e-04,65217
2020,1487.9,99287040,-2.5500,160.4,0.9500,0.3800,1990.6,-0.013258,5.513007,1.522526,1.788600e-04,68582
2030,1495.2,99778560,1.3000,150.7,0.9600,0.5700,1904.2,-0.012907,5.829460,1.518778,1.782600e-04,68287
2040,1502.4,100270080,-1.0000,122.5,0.9500,0.4600,1863.9,-0.013634,6.126208,1.540129,1.776600e-04,66744
2050,1509.8,100761600,-0.8000,147.4,0.8800,0.4900,1889.6,-0.013420,5.537972,1.503974,1.770600e-04,66314
2060,1517.2,101253120,-1.5500,144.0,0.9200,0.4400,1840.6,-0.013379,5.124011,1.540794,1.764600e-04,65949
2070,1524.4,101744640,9.5000,77.0,0.9800,0.9800,1852.6,-0.011185,1.913559,1.558378,1.758600e-04,72545
2080,1531.9,102236160,-0.2000,154.8,0.9000,0.5100,1908.3,-0.014309,4.484349,1.516065,1.752600e-04,66274
2090,1539.3,102727680,-0.8500,159.6,0.9400,0.4700,1920.7,-0.014425,5.130463,1.523534,1.746600e-04,65453
2100,1546.5,103219200,-2.3500,203.5,0.8200,0.4200,1955.0,-0.014012,3.721371,1.543096,1.740600e-04,67836
2110,1553.7,103710720,0.3500,146.7,0.9000,0.5400,1910.9,-0.012902,5.884287,1.455092,1.734600e-04,67142
2120,1560.9,104202240,2.1500,132.7,0.9400,0.6200,1994.8,-0.014607,5.014112,1.508119,1.728600e-04,66172
2130,1568.2,104693760,-0.2500,172.0,0.8700,0.5100,1942.1,-0.014027,5.115739,1.542189,1.722600e-04,68128
2140,1575.4,105185280,9.5000,78.4,0.9800,0.9800,2022.2,-0.011970,2.289833,1.601920,1.716600e-04,72441
2150,1582.7,105676800,-0.3000,148.3,0.8800,0.5100,2012.6,-0.012478,6.516307,1.549458,1.710600e-04,66265
2160,1590.0,106168320,1.3000,135.8,0.9300,0.5800,1963.8,-0.014532,6.200963,1.499257,1.704600e-04,65640
2170,1597.3,106659840,2.3500,170.3,0.9000,0.6400,1969.1,-0.012661,5.734443,1.514251,1.698600e-04,67303
2180,1604.5,107151360,0.0500,155.8,0.9000,0.5200,1982.2,-0.012303,4.830802,1.493708,1.692600e-04,67550
